"AFID1","AFID2","LCS-SIM(JNAME1 JNAME2)","EXIST-P(JNAME1 JNAME2)","EXACT-MATCH(JNAME1 JNAME2)","LCS(JNAME1 JNAME2)","LEVENSHTEIN(JNAME1 JNAME2)","DIFF-LENGTH(JNAME1 JNAME2)","VARIANTS-AND-CONFUSIONS(JNAME1 JNAME2)","UNKNOWN-CHAR(JNAME1 JNAME2)","LCS-SIM(ENAME1 ENAME2)","EXIST-P(ENAME1 ENAME2)","EXACT-MATCH(ENAME1 ENAME2)","INITIAL-MATCH(ENAME1 ENAME2)","LCS(ENAME1 ENAME2)","LEVENSHTEIN(ENAME1 ENAME2)","DIFF-LENGTH(ENAME1 ENAME2)","LCS-SIM(JAFF1 JAFF2)","EXIST-P(JAFF1 JAFF2)","EXACT-MATCH(JAFF1 JAFF2)","LCS-SIM(EAFF1 EAFF2)","EXIST-P(EAFF1 EAFF2)","EXACT-MATCH(EAFF1 EAFF2)","COAUTHER-MATCH(CO-AUTHOR1 CO-AUTHOR2)","COUNT-COAUTHER(CO-AUTHOR1 CO-AUTHOR2)","CLASS"
"B-10013204950-5-cjp","B-10008630486-6-cjp",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.7662017867099018d0,0,0,1,-0.9455947581697487d0,-0.722080812547675d0,-0.33552628470597157d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,1,3.074327375976204d0,1
"B-10013204950-5-cjp","B-10008630483-5-cjp",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.7662017867099018d0,0,0,1,-0.9455947581697487d0,-0.722080812547675d0,-0.33552628470597157d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,1,3.074327375976204d0,1
"B-10010630974-2-cjp","B-10008630486-6-cjp",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.7662017867099018d0,0,0,1,-0.9455947581697487d0,-0.722080812547675d0,-0.33552628470597157d0,0.5749811408490114d0,0,0,0.8451382957436235d0,0,1,1,0.9688540504849138d0,1
"B-10008630483-7-cjp","B-10013204787-6-cjp",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.8274463223775708d0,0,0,1,-0.6869859258806831d0,-0.722080812547675d0,-0.33552628470597157d0,0.6374332355169884d0,0,0,0.8451382957436235d0,0,1,0,-0.08388261226073132d0,1
"B-10013204961-7-cjp","B-10008630300-6-cjp",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.947272648523035d0,0,0,1,0.08884057098651381d0,-0.722080812547675d0,-0.33552628470597157d0,0.465689598980744d0,0,0,0.6843361467981145d0,0,0,0,0.4424857191120912d0,1
"B-10013204950-4-cjp","B-10008630483-4-cjp",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.9149385161885266d0,0,0,1,-0.1697682613025518d0,-0.722080812547675d0,-0.33552628470597157d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,1,3.074327375976204d0,1
"B-10013204950-2-cjp","B-10008630483-3-cjp",0.8339125387752425d0,0,1,-0.43174649411591065d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.7662017867099018d0,0,0,1,-0.9455947581697487d0,-0.722080812547675d0,-0.33552628470597157d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,1,3.074327375976204d0,1
"B-80016665595-3-jic","B-80012153305-3-jic",1.4581421043229298d-4,1,0,3.599930826652983d-15,3.9954561131823056d-16,-7.103693884226016d-15,-2.4528514911935254d-15,-1.220140237811119d-16,0.5059122774055463d0,0,0,1,-0.4283770935916174d0,-0.3809206681754414d0,0.1349091505549051d0,0.692850403131503d0,0,0,0.779015606091236d0,0,0,0,-0.6102509436335539d0,1
"B-80010670083-4-jic","B-80010569857-1-jic",1.4581421043229298d-4,1,0,3.599930826652983d-15,3.9954561131823056d-16,-7.103693884226016d-15,-2.4528514911935254d-15,-1.220140237811119d-16,0.5059122774055463d0,0,0,1,-0.4283770935916174d0,-0.3809206681754414d0,0.1349091505549051d0,0.7662408688693447d0,0,1,0.8451382957436235d0,0,1,0,-0.6102509436335539d0,1
"B-10020457377-4-cjp","B-10013028084-4-cjp",0.8339125387752425d0,0,1,0.07344938951968377d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.947272648523035d0,0,0,0,2.9335377261662354d0,-0.3809206681754414d0,0.1349091505549051d0,0.10186423893690343d0,0,0,0.8451382957436235d0,0,1,1,2.021590713230559d0,1
