year-month,CI Leading Index,CI Coincident Index,CI Lagging Index,DI Leading Index,DI Coincident Index,DI Lagging Index,CDI Leading Index,CDI Coincident Index,CDI Lagging Index
1980-1,76,81.2,75,50,86.4,75,1481.9,6511.2,2391.3
1980-2,75.9,83.1,76.3,50,90.9,91.7,1481.9,6552.1,2433
1980-3,73.7,82,76.4,50,81.8,83.3,1481.9,6583.9,2466.3
1980-4,73.7,82.7,77.5,45.8,86.4,66.7,1477.7,6620.3,2483
1980-5,72.2,82,77.6,33.3,31.8,41.7,1461,6602.1,2474.7
1980-6,71.9,81,78.9,41.7,27.3,91.7,1452.7,6579.4,2516.4
1980-7,70.9,79.9,78.7,25,0,66.7,1427.7,6529.4,2533.1
1980-8,69.7,78.1,79.3,16.7,0,83.3,1394.4,6479.4,2566.4
1980-9,69.5,78.7,79.3,16.7,9.1,66.7,1361.1,6438.5,2583.1
1980-10,69.9,78.5,79.2,33.3,0,66.7,1344.4,6388.5,2599.8
1980-11,69.3,77.3,79.1,41.7,45.5,50,1336.1,6384,2599.8
1980-12,69.7,77.5,79.5,66.7,27.3,33.3,1352.8,6361.3,2583.1
1981-1,69.4,77.2,79.9,41.7,22.7,50,1344.5,6334,2583.1
1981-2,69.3,76.4,79.2,58.3,27.3,50,1352.8,6311.3,2583.1
1981-3,69.7,76.7,79.3,41.7,27.3,66.7,1344.5,6288.6,2599.8
1981-4,71,76.5,79.6,54.2,31.8,33.3,1348.7,6270.4,2583.1
1981-5,71.6,75.6,79.2,58.3,22.7,50,1357,6243.1,2583.1
1981-6,71.8,76.9,78.7,66.7,54.5,16.7,1373.7,6247.6,2549.8
1981-7,73,77.8,78.3,75,81.8,16.7,1398.7,6279.4,2516.5
1981-8,73.9,77.6,78.2,75,100,33.3,1423.7,6329.4,2499.8
1981-9,74.3,78.3,78.5,58.3,95.5,66.7,1432,6374.9,2516.5
1981-10,74.2,78.5,78.1,58.3,63.6,50,1440.3,6388.5,2516.5
1981-11,74.2,78.6,78.4,50,81.8,66.7,1440.3,6420.3,2533.2
1981-12,75.2,78.6,78.5,58.3,54.5,33.3,1448.6,6424.8,2516.5
1982-1,74.6,78.1,78.7,41.7,18.2,66.7,1440.3,6393,2533.2
1982-2,74.5,77.5,78.8,50,9.1,58.3,1440.3,6352.1,2541.5
1982-3,74.1,77.5,78.8,25,9.1,50,1415.3,6311.2,2541.5
1982-4,72.2,76.4,78.5,25,18.2,33.3,1390.3,6279.4,2524.8
1982-5,73,76,79.2,33.3,18.2,50,1373.6,6247.6,2524.8
1982-6,72.4,76.1,79.2,33.3,13.6,66.7,1356.9,6211.2,2541.5
1982-7,72.1,75.4,78.7,58.3,27.3,50,1365.2,6188.5,2541.5
1982-8,72.1,75.7,78.5,25,50,33.3,1340.2,6188.5,2524.8
1982-9,73.3,76,77.7,58.3,45.5,33.3,1348.5,6184,2508.1
1982-10,72.5,74.9,77.8,50,22.7,33.3,1348.5,6156.7,2491.4
1982-11,72.8,75.5,77.4,62.5,40.9,33.3,1361,6147.6,2474.7
