filename.d1.d2,A/C CLUTCH,A/C SWITCH,AF FB CMD,AF FB CMD B2,AF SENSOR,AF SENSOR B1,AF SENSOR B2,ALTERNATOR,BARO SENSOR,BATTERY,BRAKE SWITCH,CMP CTRL,CMP CTRL CMD,DRIVING STATUS,ECT SENSOR,ECT SENSOR 2,EGR COMMAND,EGR LIFT,ELD,ENGINE SPEED,EVAP CVS VALVE,EVAP PC DUTY,F INJECTOR,FSS,FSS-B1,FSS-B2,FTP SENSOR,FUEL CUT,FUEL LEVEL,HO2S B1 S2,HO2S B2 S2,HO2S S2,IAT SENSOR,IDLE TARGET TH,IDLING,IG1 LEVEL,IMA MOTOR TORQUE,IMRC VALVE CMD,KCREND,KNOCK CTRL,KNOCK CTRL EGR,KNOCK RETARD,LT FUEL TRIM,LT FUEL TRIM B1,LT FUEL TRIM B2,MAP SENSOR,MISFIRE,PNP SWITCH,PSP SWITCH,PULSER F/B LEARN,REL TP SENSOR,ROCKER ARM OIL CONTROL SOL1,ROCKER ARM OIL CONTROL SOL2,ROCKER ARM OIL PRESSURE SWITCH,SPARK ADVANCE,ST FUEL TRIM,ST FUEL TRIM B1,ST FUEL TRIM B2,TARGET TH VLV,TIME,TP SENSOR,VEHICLE SPEED,VTEC PRES SW,VTEC SOL
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.1.0,0,0,14.56d0,14.545505d0,-0.08d0,-0.06082281d0,-0.07063295d0,30.0d0,2.92d0,13.9d0,0,10.0d0,10.0d0,4,176.0d0,50.25714d0,66.0d0,61.0d0,29.39d0,2266.0d0,1,21.0d0,8.62d0,2,2,2,2.08d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.71d0,46.4d0,2.9d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,2.35d0,4.0d0,0,1,1,16.86d0,0,0,1,21.0d0,0.97d0,0.97278535d0,0.9796831d0,15.2d0,-11.6d0,1.27d0,43.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.1.1,0,0,14.79d0,14.545505d0,0.02d0,-0.06082281d0,-0.07063295d0,30.0d0,2.92d0,13.9d0,0,10.0d0,10.0d0,4,176.0d0,50.25714d0,72.0d0,71.0d0,29.39d0,2234.0d0,1,20.0d0,7.9d0,2,2,2,2.08d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.69d0,46.4d0,2.8d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,2.29d0,4.0d0,0,1,1,16.47d0,0,0,1,22.5d0,0.97d0,0.97278535d0,0.9796831d0,14.4d0,-11.4d0,1.2d0,43.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.1.2,0,0,14.79d0,14.545505d0,0.01d0,-0.06082281d0,-0.07063295d0,30.0d0,2.92d0,13.9d0,0,10.0d0,10.0d0,4,176.0d0,50.25714d0,80.0d0,78.0d0,29.39d0,2219.0d0,1,19.0d0,7.55d0,2,2,2,2.08d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.67d0,46.4d0,2.8d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,2.18d0,4.0d0,0,1,1,14.9d0,0,0,1,23.5d0,0.96d0,0.97278535d0,0.9796831d0,13.3d0,-11.2d0,1.16d0,43.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.1.3,0,0,14.79d0,14.545505d0,0.02d0,-0.06082281d0,-0.07063295d0,30.0d0,2.92d0,13.9d0,0,10.5d0,10.0d0,4,176.0d0,50.25714d0,79.0d0,79.0d0,29.39d0,2195.0d0,1,19.0d0,6.8100000000000005d0,2,2,2,2.08d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.67d0,46.4d0,2.8d0,0,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,2.08d0,4.0d0,0,1,1,12.16d0,0,0,1,25.0d0,0.95d0,0.97278535d0,0.9796831d0,7.4d0,-11.0d0,1.12d0,43.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.1.4,0,0,14.79d0,14.545505d0,0.17d0,-0.06082281d0,-0.07063295d0,34.0d0,2.92d0,14.0d0,0,10.5d0,10.0d0,4,176.0d0,50.25714d0,30.0d0,42.0d0,26.88d0,2081.0d0,1,20.0d0,3.12d0,2,2,2,2.06d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.67d0,48.2d0,2.6d0,1,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,1.3900000000000001d0,4.0d0,0,1,1,3.92d0,0,0,1,33.0d0,0.93d0,0.97278535d0,0.9796831d0,3.2d0,-10.8d0,0.74d0,43.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.1.5,0,0,14.79d0,14.545505d0,0.5d0,-0.06082281d0,-0.07063295d0,34.0d0,2.92d0,14.0d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,26.88d0,2031.0d0,1,21.0d0,2.03d0,2,2,2,2.06d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.65d0,48.2d0,2.5d0,1,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.94d0,4.0d0,0,1,1,2.35d0,0,0,1,27.5d0,0.88d0,0.97278535d0,0.9796831d0,2.5d0,-10.6d0,0.71d0,43.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.1.6,0,0,14.79d0,14.545505d0,0.7d0,-0.06082281d0,-0.07063295d0,34.0d0,2.92d0,14.0d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,26.88d0,1930.0d0,1,21.0d0,1.55d0,2,2,2,2.06d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.65d0,48.2d0,2.5d0,1,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.76d0,4.0d0,0,1,1,2.74d0,0,0,1,16.0d0,0.81d0,0.97278535d0,0.9796831d0,2.5d0,-10.4d0,0.71d0,43.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.1.7,0,0,14.79d0,14.545505d0,0.65d0,-0.06082281d0,-0.07063295d0,34.0d0,2.92d0,14.0d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,26.88d0,1667.0d0,1,21.0d0,1.56d0,2,2,2,2.06d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.65d0,48.2d0,2.5d0,1,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.73d0,4.0d0,0,1,1,2.74d0,0,0,1,7.5d0,0.76d0,0.97278535d0,0.9796831d0,2.5d0,-10.2d0,0.71d0,43.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.1.8,0,0,14.79d0,14.545505d0,0.65d0,-0.06082281d0,-0.07063295d0,34.0d0,2.92d0,14.0d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,26.88d0,1410.0d0,1,21.0d0,1.62d0,2,2,2,2.06d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.65d0,48.2d0,2.5d0,1,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.76d0,4.0d0,0,1,1,2.74d0,0,0,1,8.0d0,0.71d0,0.97278535d0,0.9796831d0,2.5d0,-10.0d0,0.71d0,43.0d0,1,0
206529_ACCORD_2006_PGM-FI_1HGCM56726A117571_09012007_135444.CSV.1.9,0,0,14.79d0,14.545505d0,0.61d0,-0.06082281d0,-0.07063295d0,34.0d0,2.92d0,14.0d0,0,0.0d0,0.0d0,4,176.0d0,50.25714d0,0.0d0,0.0d0,29.75d0,1304.0d0,1,21.0d0,1.72d0,2,2,2,2.04d0,0,75.57143d0,0.5407597d0,0.5268359d0,0.65d0,48.2d0,2.5d0,1,1,-15.179118d0,0,1,0.58d0,0.5d0,0.0d0,0.9d0,0.95316535d0,0.95898604d0,0.8d0,4.0d0,0,1,1,2.74d0,0,0,1,8.0d0,0.69d0,0.97278535d0,0.9796831d0,2.5d0,-9.8d0,0.71d0,42.0d0,1,0
