TIME,MOC,MOU,MTC,MTU,LOC,LOU,PKTC,PKTU
16:00:00,371,252,378,147,56,175,1526,56
16:00:10,490,231,406,133,105,189,1582,35
16:00:20,525,217,413,98,91,154,1631,42
16:00:30,469,294,406,112,140,203,1575,49
16:00:40,350,266,385,126,105,217,1687,77
16:00:50,581,231,329,147,112,147,1617,112
16:01:00,462,196,322,140,70,105,1617,49
16:01:10,420,266,350,70,126,140,1512,35
16:01:20,427,189,308,112,119,147,1610,63
16:01:30,511,196,357,119,112,238,1617,49
16:01:40,294,189,399,49,84,266,1575,77
16:01:50,364,294,294,112,91,147,1505,56
16:02:00,427,259,378,105,63,147,1582,49
16:02:10,406,301,350,133,91,168,1449,63
16:02:20,448,217,301,154,140,175,1512,42
16:02:30,420,245,343,77,63,168,1624,35
16:02:40,490,210,399,126,91,119,1449,84
16:02:50,420,252,350,105,77,161,1421,70
16:03:00,427,266,343,98,77,140,1498,49
16:03:10,490,266,315,119,91,182,1421,70
16:03:20,385,196,245,105,126,91,1428,35
16:03:30,378,308,294,140,56,119,1596,56
16:03:40,406,196,343,84,77,175,1477,35
16:03:50,497,182,329,147,84,133,1603,35
16:04:00,399,189,378,119,70,140,1435,35
16:04:10,553,287,343,105,105,175,1386,56
16:04:20,399,259,308,112,77,154,1449,56
16:04:30,406,196,385,98,91,154,1638,63
16:04:40,406,266,273,98,112,147,1435,63
16:04:50,413,189,378,98,77,168,1344,77
16:05:00,448,294,301,112,63,189,1421,77
16:05:10,406,217,336,112,98,168,1393,77
16:05:20,483,168,427,133,98,182,1428,63
16:05:30,462,175,469,63,133,189,1428,49
16:05:40,441,287,350,140,112,119,1540,14
16:05:50,469,259,301,147,140,133,1365,56
16:06:00,378,252,266,119,133,182,1624,70
16:06:10,427,238,371,105,63,147,1400,56
16:06:20,434,217,308,119,84,133,1484,63
16:06:30,406,280,343,154,112,161,1561,35
16:06:40,336,252,371,105,84,182,1498,70
16:06:50,392,245,231,133,56,161,1442,105
16:07:00,420,196,378,119,98,119,1547,63
16:07:10,448,294,448,112,84,98,1582,70
16:07:20,434,210,385,119,21,154,1526,35
16:07:30,462,280,483,161,126,161,1540,7
16:07:40,497,203,343,133,91,140,1617,77
16:07:50,441,217,364,91,84,147,1372,77
16:08:00,420,245,336,77,126,168,1519,63
16:08:10,413,203,483,70,84,161,1435,35
16:08:20,455,238,315,98,105,105,1491,77
16:08:30,385,315,336,112,84,161,1239,70
16:08:40,490,238,371,98,112,133,1526,42
16:08:50,399,168,308,119,105,175,1428,49
16:09:00,462,231,315,105,63,126,1491,35
16:09:10,378,266,357,119,140,133,1449,56
16:09:20,532,217,371,126,119,161,1519,49
16:09:30,434,231,420,98,56,168,1589,49
16:09:40,462,266,399,126,77,168,1568,91
16:09:50,462,259,322,77,98,154,1442,84
16:10:00,483,224,322,168,112,147,1652,35
16:10:10,385,329,322,98,77,154,1638,35
16:10:20,343,308,434,91,140,210,1876,56
16:10:30,525,224,364,140,63,189,1603,49
16:10:40,560,238,392,112,56,182,1477,35
16:10:50,427,203,322,105,126,168,1344,77
16:11:00,392,252,322,126,112,133,1554,84
16:11:10,406,252,399,119,112,154,1526,91
16:11:20,413,301,280,112,84,175,1652,98
16:11:30,476,189,280,168,91,224,1414,84
16:11:40,462,308,287,147,77,168,1610,63
16:11:50,385,280,322,119,91,210,1680,42
16:12:00,448,231,343,91,49,182,1498,63
16:12:10,364,294,294,133,63,133,1498,84
16:12:20,490,266,406,126,91,168,1694,63
16:12:30,455,210,329,91,98,147,1596,35
16:12:40,574,238,329,147,112,203,1820,56
16:12:50,378,252,357,91,119,133,1568,28
16:13:00,371,231,364,112,98,203,1407,63
16:13:10,350,210,357,91,105,217,1596,35
16:13:20,483,154,427,70,70,154,1421,14
16:13:30,427,203,357,168,112,133,1722,21
16:13:40,448,259,350,56,91,133,1477,91
16:13:50,448,266,371,105,119,217,1603,56
16:14:00,469,245,476,154,98,147,1526,42
16:14:10,385,168,364,98,133,112,1736,63
16:14:20,434,273,462,91,147,154,1568,70
16:14:30,364,280,329,119,77,196,1554,70
16:14:40,532,203,280,119,126,126,1680,35
16:14:50,364,245,308,112,98,112,1414,42
16:15:00,448,217,301,112,63,140,1519,35
16:15:10,378,210,280,119,119,161,1407,49
16:15:20,385,245,371,84,91,133,1596,49
16:15:30,504,322,315,140,105,203,1610,42
16:15:40,392,245,392,77,119,119,1589,56
16:15:50,525,273,315,119,126,154,1659,42
16:16:00,420,266,350,105,105,175,1526,35
16:16:10,371,294,434,140,77,126,1344,35
16:16:20,364,231,392,119,126,154,1435,56
16:16:30,497,245,336,91,21,189,1561,70
16:16:40,413,210,399,112,84,105,1414,21
16:16:50,413,189,371,70,63,147,1505,63
16:17:00,483,224,392,105,77,196,1456,42
16:17:10,476,196,259,140,105,133,1624,21
16:17:20,448,287,434,119,70,175,1554,42
16:17:30,434,294,378,147,56,182,1407,35
16:17:40,406,175,364,112,77,189,1589,49
16:17:50,399,336,266,112,126,140,1547,63
16:18:00,406,168,280,119,147,175,1547,77
16:18:10,378,217,399,133,56,210,1428,35
16:18:20,308,196,308,112,105,161,1547,49
16:18:30,392,252,364,98,126,161,1449,63
16:18:40,406,245,294,168,112,161,1449,35
16:18:50,455,280,315,140,112,147,1463,14
16:19:00,455,231,315,161,126,168,1344,35
16:19:10,532,231,427,105,133,154,1554,49
16:19:20,385,252,322,84,70,119,1456,14
16:19:30,434,231,273,119,98,175,1407,28
16:19:40,518,238,490,98,105,196,1694,21
16:19:50,490,252,329,140,175,168,1708,28
16:20:00,357,245,336,84,63,105,1435,21
16:20:10,448,259,308,63,105,147,1491,70
16:20:20,385,203,525,98,140,140,1533,49
16:20:30,427,245,392,84,91,182,1414,42
16:20:40,476,336,273,91,105,196,1547,84
16:20:50,462,168,392,84,105,154,1421,98
16:21:00,413,238,357,140,91,203,1694,56
