TIME,MOC,MOU,MTC,MTU
16:00:00,931,511,693,420
16:00:10,847,553,532,315
16:00:20,854,462,707,301
16:00:30,973,588,616,350
16:00:40,826,420,672,357
16:00:50,945,532,749,287
16:01:00,910,546,679,301
16:01:10,931,511,693,406
16:01:20,1022,462,721,259
16:01:30,854,546,665,329
16:01:40,812,518,686,336
16:01:50,742,483,644,259
16:02:00,889,385,805,259
16:02:10,861,420,693,371
16:02:20,798,504,714,280
16:02:30,833,483,553,336
16:02:40,931,490,602,322
16:02:50,868,406,791,399
16:03:00,889,504,693,322
16:03:10,868,448,595,301
16:03:20,756,560,700,378
16:03:30,1001,609,644,315
16:03:40,812,560,630,385
16:03:50,770,364,693,259
16:04:00,903,553,770,371
16:04:10,931,532,812,385
16:04:20,833,511,658,350
16:04:30,791,567,749,294
16:04:40,959,525,749,350
16:04:50,742,504,602,371
16:05:00,833,518,658,301
16:05:10,959,469,616,273
16:05:20,742,539,686,329
16:05:30,882,518,609,427
16:05:40,1001,616,616,322
16:05:50,861,462,651,357
16:06:00,959,427,728,266
16:06:10,819,511,630,301
16:06:20,819,504,644,336
16:06:30,847,602,588,371
16:06:40,903,469,637,294
16:06:50,854,441,707,280
16:07:00,798,490,707,315
16:07:10,700,518,588,329
16:07:20,952,329,581,231
16:07:30,791,441,581,273
16:07:40,812,609,665,336
16:07:50,763,553,686,399
16:08:00,889,476,686,280
16:08:10,693,546,644,336
16:08:20,826,434,707,238
16:08:30,882,567,777,336
16:08:40,763,518,686,245
16:08:50,987,511,714,280
16:09:00,763,567,749,364
16:09:10,952,630,693,357
16:09:20,784,539,812,357
16:09:30,875,518,798,280
16:09:40,777,476,623,231
16:09:50,791,616,672,378
16:10:00,1036,455,651,294
16:10:10,854,455,693,308
16:10:20,910,469,742,280
16:10:30,819,469,721,322
16:10:40,763,546,574,364
16:10:50,889,469,609,364
16:11:00,784,553,763,392
16:11:10,819,469,588,308
16:11:20,742,609,728,434
16:11:30,875,560,651,322
16:11:40,868,455,756,315
16:11:50,791,518,665,364
16:12:00,973,497,679,350
16:12:10,896,525,700,308
16:12:20,952,532,714,343
16:12:30,742,609,546,406
16:12:40,833,525,770,371
16:12:50,847,518,602,371
16:13:00,791,602,651,301
16:13:10,840,490,679,392
16:13:20,805,490,707,308
16:13:30,959,574,700,287
16:13:40,784,483,539,322
16:13:50,714,413,721,329
16:14:00,889,483,693,245
16:14:10,805,518,819,350
16:14:20,805,469,637,378
16:14:30,861,490,658,343
16:14:40,861,490,665,336
16:14:50,812,616,665,448
16:15:00,945,455,616,336
16:15:10,791,483,574,294
16:15:20,819,434,553,210
16:15:30,931,497,700,357
16:15:40,763,448,714,329
16:15:50,784,427,616,308
16:16:00,952,434,728,329
16:16:10,854,490,728,336
16:16:20,924,476,630,259
16:16:30,721,399,609,294
16:16:40,896,469,686,273
16:16:50,966,448,651,287
16:17:00,763,490,651,420
16:17:10,777,455,707,315
